dataset,instance,T,J,I,cplex_budget_used,cplex_Z,cplex_Z_1h,cplex_bound,cplex_gap_pct,cplex_status,cplex_mip_600_Z,cplex_mip_3600_Z,cplex_mip_10800_Z,cplex_mip_10800_bound,cplex_mip_10800_gap_pct,rf_fo_600_Z,rf_mip_600_Z,rf_fo_3600_Z,rf_mip_3600_Z,ils2_Z_best,ils2_Z_mean,ils2_Z_std,ils1_Z_best,BKS,bks_source,gap_ils2_vs_bound_pct,gap_ils2_vs_cplex_primal_pct,gap_ils2_vs_BKS_pct,gap_cplex_vs_BKS_pct,gap_rf_fo_600_vs_BKS_pct,gap_rf_mip_600_vs_BKS_pct,gap_mip_600_vs_BKS_pct,gap_rf_fo_3600_vs_BKS_pct,gap_rf_mip_3600_vs_BKS_pct,gap_mip_3600_vs_BKS_pct,ils2_wins,ties
Real order book,REAL_1,19,159,50,mip_10800s,11442.625,,11442.625,0.0,OptimalGlobal,11442.625,11442.625,11442.625,11442.625,0.0,11442.625,11442.625,11442.625,,11442.625,11487.995,7.912558583248475,,11442.625,MAT_mip_600s | 600s | experiments\matheuristics\results_production\real\REAL_1_mip_seed1_b600.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,False,True
4X,IncT4x_3,76,159,50,3h,49468.889,49654.614,48583.051269,1.790697,Integer,49521.664,,,,,51777.217,49578.045,50144.492,,58187.639,62567.0226,2575.582249314649,97144.237,49468.889,CPLEX22_3h | 10800s | experiments\GAMSPy\4X\results_3horas\IncT4x_3.json,19.769420569779072,17.624713585138327,17.624713585138327,0.0,4.666221632751837,0.22065585503647636,0.10668321255404417,1.3657129029115562,,,False,False
4X,IncT4x_4,76,159,50,3h,137435.102,137442.852,136586.18608,0.617685,Integer,140937.529,,,,,140924.581,139762.236,138910.452,,143323.188,152961.72170000002,7651.622750531644,198915.417,137435.102,CPLEX22_3h | 10800s | experiments\GAMSPy\4X\results_3horas\IncT4x_4.json,4.932418213986915,4.284266475095992,4.284266475095992,0.0,2.5390012807644964,1.6932602851344272,2.5484224546942857,1.0734884891342944,,,False,False
4X,IncT4x_5,76,159,50,3h,43396.022,43478.85,42873.136315,1.204916,Integer,43438.275,,,,,45164.417,43895.475,43885.225,,46983.093,59378.4968,8188.6328523800175,83918.115,43396.022,CPLEX22_3h | 10800s | experiments\GAMSPy\4X\results_3horas\IncT4x_5.json,9.586321501658018,8.265898196843949,8.265898196843949,0.0,4.075016369011897,1.1509188561108237,0.09736606733217218,1.1272991796344867,,,False,False
4X,IncT4x_6,76,159,50,3h,76811.29,76838.09,75649.648206,1.512332,Integer,78230.194,,,,,78063.39,82492.802,77209.306,,86776.806,92277.8006,4139.959772990853,142511.048,76811.29,CPLEX22_3h | 10800s | experiments\GAMSPy\4X\results_3horas\IncT4x_6.json,14.708803091456375,12.974025042412391,12.974025042412391,0.0,1.6300989086370063,7.396714727743802,1.8472596932039673,0.5181738257487972,,,False,False
4X,IncT4x_7,76,159,50,3h,19759.389,19975.839,16244.250381,17.789713,Integer,21637.253,,,,,19282.326,20917.704,19519.564,,25967.717,32049.021400000005,3605.6589667834096,76269.77,19282.326,MAT_rf_fo_600s | 600s | experiments\matheuristics\results_production\b600\IncT4x_7_rf_fo_seed1_b600.json,59.857896738485394,31.419635495814177,34.671081694189795,2.474094670943735,0.0,8.481227835272572,12.212878259604155,1.2303391198758777,,,False,False
4X,IncT4x_8,76,159,50,3h,174700.915,174700.915,174178.666981,0.298938,Integer,175549.4,,,,,178330.843,176793.359,176310.751,,181977.871,190761.8154,6164.160804795612,258405.534,174700.915,CPLEX22_1h | 3600s | experiments\GAMSPy\4X\results\IncT4x_8.json,4.477703357237652,4.165379442918204,4.165379442918204,0.0,2.0777956429134816,1.1977292734843366,0.48567862394995814,0.9214811496551012,,,False,False
4X,IncT4x_9,76,159,50,3h,24689.228,24728.428,23391.565429,5.255987,Integer,25270.794,,,,,25141.926,24929.994,24780.369,,29515.394,35252.9033,4343.597258260231,55567.314,24689.228,CPLEX22_3h | 10800s | experiments\GAMSPy\4X\results_3horas\IncT4x_9.json,26.179644066950324,19.547658598316648,19.547658598316648,0.0,1.833585076050172,0.9751864254321748,2.3555455034884143,0.3691528953436682,,,False,False
5X,IncT5x_1,95,159,50,3h,50531.718,50531.718,47662.707147,5.677644,Integer,53900.57,,,,,52257.127,53606.275,50351.243,,60854.829,67515.9927,4494.198277053995,,50351.243,MAT_rf_fo_3600s | 3600s | experiments\matheuristics\results_production\a3600\IncT5x_1_rf_fo_seed1_b3600.json,27.67807924193903,20.428972947248692,20.860629001750752,0.3584320649243923,3.7851776568852493,6.46465073364723,7.049134814804864,0.0,,,False,False
5X,IncT5x_10,95,159,50,3h,16964.09,17970.346,13779.688617,18.771425,Integer,17880.24,,,,,18456.409,18536.715,16115.811,,24678.883,28333.237399999995,1813.145643070395,,16115.811,MAT_rf_fo_3600s | 3600s | experiments\matheuristics\results_production\c_seeds\IncT5x_10_rf_fo_seed2_b3600.json,79.09608617391882,45.47719918958224,53.13460178950971,5.2636445041456525,14.523612866892023,15.021918537019332,10.948434428773098,0.0,,,False,False
5X,IncT5x_2,95,159,50,3h,116740.099,116736.699,112895.17708,3.293574,Integer,118538.381,,,,,120908.638,116353.298,116392.639,,125456.956,138962.11070000002,8905.392537330215,,116353.298,MAT_rf_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT5x_2_rf_mip_seed1_b600.json,11.126940268757858,7.466891903184016,7.824151232911344,0.33243664481260066,3.9150931501744037,0.0,1.8779725521832642,0.033811675883910354,,,False,False
