method,dataset,instance,n_runs,Z_best,Z_mean,Z_std,Z_worst,t2b_mean,total_time_mean,time_budget_s,bound,gap_solver_pct,model_status,T,J,I,source_path,raw_method
GRASP_v1,4X,IncT4x_6,10.0,93470.445,106678.52149999999,5979.017770009277,115341.902,677.7290999999999,1806.0375,1900.0,,,,76.0,159.0,52.0,,
GRASP_v1,4X,IncT4x_7,10.0,37988.441,44841.4432,4423.983731541386,51659.03,740.746,1807.0218,1900.0,,,,76.0,159.0,52.0,,
GRASP_v1,4X,IncT4x_8,10.0,220622.768,247452.0466,10646.60511873203,257807.982,1115.1899,1806.5203000000001,1900.0,,,,76.0,159.0,52.0,,
GRASP_v1,4X,IncT4x_9,10.0,46549.061,50457.922399999996,2467.8281464093607,53926.487,1086.7958999999998,1810.0610000000001,1900.0,,,,76.0,159.0,52.0,,
GRASP_v1,5X,IncT5x_1,10.0,85971.92,100995.0926,6965.544368319841,108561.203,550.9923000000001,1809.1343999999997,1900.0,,,,95.0,159.0,52.0,,
GRASP_v1,5X,IncT5x_10,10.0,50259.398,57318.4665,4333.43239507107,63231.386,674.3842,1809.3437999999999,1900.0,,,,95.0,159.0,52.0,,
GRASP_v1,5X,IncT5x_2,10.0,171441.287,182218.5989,6146.817432894615,192088.069,614.413,1808.8102999999999,1900.0,,,,95.0,159.0,52.0,,
GRASP_v1,5X,IncT5x_3,10.0,87932.083,95527.26920000001,4589.01261383954,104196.425,802.0265,1808.2685999999999,1900.0,,,,95.0,159.0,52.0,,
GRASP_v1,5X,IncT5x_4,10.0,181417.469,195090.15360000002,8650.72499249221,204419.165,567.8588,1808.8437000000001,1900.0,,,,95.0,159.0,52.0,,
GRASP_v1,5X,IncT5x_5,10.0,71430.749,82527.0001,6612.2599739022735,91767.323,609.7553,1810.7485000000001,1900.0,,,,95.0,159.0,52.0,,
GRASP_v1,5X,IncT5x_6,10.0,106434.55,116533.9595,6274.523002209459,127176.985,819.6658,1811.4415000000001,1900.0,,,,95.0,159.0,52.0,,
GRASP_v1,5X,IncT5x_7,10.0,50024.776,56754.25750000001,3504.1444044176933,60794.858,1027.0887,1809.9055,1900.0,,,,95.0,159.0,52.0,,
GRASP_v1,5X,IncT5x_8,10.0,253991.037,264877.4125,6009.141198036833,272785.766,761.5110000000001,1807.8396,1900.0,,,,95.0,159.0,52.0,,
GRASP_v1,5X,IncT5x_9,10.0,54351.447,61310.60109999999,5409.266712497306,68581.26,554.583,1806.4616999999998,1900.0,,,,95.0,159.0,52.0,,
GRASP_v1,Real,Ale_1,10.0,93422.649,99359.6465,3124.328885375269,104913.094,739.7016000000001,1800.7345,1900.0,,,,25.0,160.0,52.0,,
GRASP_v1,Real,Ale_10,10.0,7422.331,8600.3351,702.8565163520533,9587.697,556.7325,1800.5221999999999,1900.0,,,,19.0,159.0,52.0,,
GRASP_v1,Real,Ale_2,10.0,90410.515,94366.0465,2063.6967394143962,96981.692,729.9277,1800.3533,1900.0,,,,19.0,159.0,52.0,,
GRASP_v1,Real,Ale_3,10.0,44164.765,46147.965000000004,1312.002563505203,48006.074,847.5895999999999,1800.5821,1900.0,,,,19.0,159.0,52.0,,
GRASP_v1,Real,Ale_4,10.0,129960.188,131936.21729999996,923.7335955378821,133098.261,881.3386,1800.3931000000005,1900.0,,,,19.0,159.0,52.0,,
GRASP_v1,Real,Ale_5,10.0,32050.424,35795.6651,1862.0521147481018,37821.446,752.5688,1800.3407,1900.0,,,,19.0,159.0,52.0,,
GRASP_v1,Real,Ale_6,10.0,62875.718,64601.5274,1203.2130668280752,66340.523,594.755,1800.3734,1900.0,,,,19.0,159.0,52.0,,
GRASP_v1,Real,Ale_7,10.0,12475.028,13471.773700000002,418.8797401249221,13897.435,682.7258,1800.4584,1900.0,,,,19.0,159.0,52.0,,
GRASP_v1,Real,Ale_8,10.0,170774.817,173723.47260000004,2278.35082662122,177000.345,845.4233,1800.4887000000003,1900.0,,,,19.0,159.0,52.0,,
GRASP_v1,Real,Ale_9,10.0,16519.851,17728.2286,882.2379090531584,19091.459,872.4688,1800.3484,1900.0,,,,19.0,159.0,52.0,,
