method,dataset,instance,run_id,seed,Z_at_cutoff,selected_time_s,selected_tag,final_objective,time_to_best_s,total_time_s,overrun_s,source_run_hard_stop_compliant,value_found_within_budget,comparison_eligible,T_json,J_json,I_json,iterations,source_path,paper_note
ILS_v2,S,S_7,10,10,10596.618,409.825,GRASP_warmup,10578.918,1047.936,3600.747,3000.747,False,True,True,19,160,50,2076,experiments/GRASP/results_ils_v2/Ale_7_run10.json,
ILS_v2,S,S_8,1,1,163933.693,467.476,GRASP_warmup,162884.172,726.971,3600.517,3000.517,False,True,True,19,160,50,2333,experiments/GRASP/results_ils_v2/Ale_8_run01.json,
ILS_v2,S,S_8,2,2,163557.663,100.204,GRASP_warmup,161993.126,740.127,3600.567,3000.567,False,True,True,19,160,50,2358,experiments/GRASP/results_ils_v2/Ale_8_run02.json,
ILS_v2,S,S_8,3,3,163977.249,309.031,GRASP_warmup,162954.172,733.739,3600.671,3000.671,False,True,True,19,160,50,2346,experiments/GRASP/results_ils_v2/Ale_8_run03.json,
ILS_v2,S,S_8,4,4,162991.872,308.1,GRASP_warmup,162982.247,730.366,3600.414,3000.414,False,True,True,19,160,50,2367,experiments/GRASP/results_ils_v2/Ale_8_run04.json,
ILS_v2,S,S_8,5,5,164488.865,177.173,GRASP_warmup,164488.865,177.173,3601.2,3001.2,False,True,True,19,160,50,2344,experiments/GRASP/results_ils_v2/Ale_8_run05.json,
ILS_v2,S,S_8,6,6,164103.759,20.447,GRASP_warmup,162011.526,1086.084,3601.52,3001.52,False,True,True,19,160,50,2394,experiments/GRASP/results_ils_v2/Ale_8_run06.json,
ILS_v2,S,S_8,7,7,162848.018,501.021,GRASP_warmup,161892.376,722.755,3600.535,3000.535,False,True,True,19,160,50,2316,experiments/GRASP/results_ils_v2/Ale_8_run07.json,
ILS_v2,S,S_8,8,8,162758.314,255.217,GRASP_warmup,161498.634,1166.371,3600.752,3000.752,False,True,True,19,160,50,2350,experiments/GRASP/results_ils_v2/Ale_8_run08.json,
ILS_v2,S,S_8,9,9,165062.974,15.151,GRASP_warmup,163482.632,2395.067,3600.1,3000.1,False,True,True,19,160,50,2333,experiments/GRASP/results_ils_v2/Ale_8_run09.json,
ILS_v2,S,S_8,10,10,164392.563,562.539,GRASP_warmup,163812.45,930.558,3600.452,3000.452,False,True,True,19,160,50,2358,experiments/GRASP/results_ils_v2/Ale_8_run10.json,
ILS_v2,S,S_9,1,1,16564.225,384.217,GRASP_warmup,15863.543,1841.345,3600.03,3000.03,False,True,True,19,160,50,2161,experiments/GRASP/results_ils_v2/Ale_9_run01.json,
ILS_v2,S,S_9,2,2,16807.539,231.543,GRASP_warmup,16043.723,1603.763,3600.095,3000.095,False,True,True,19,160,50,2164,experiments/GRASP/results_ils_v2/Ale_9_run02.json,
ILS_v2,S,S_9,3,3,16645.898,125.94,GRASP_warmup,15888.072,721.919,3600.42,3000.42,False,True,True,19,160,50,2120,experiments/GRASP/results_ils_v2/Ale_9_run03.json,
