grade,dataset,instance,method,seed,budget_s,Z_final,construction_used,rf_wall_time_s,wall_time_total,window_log_rows,early_stop_reason,status
B,8X,IncT8x_6,rf+fo,1,600.0,105771.668,greedy,0.0,602.743,13,,ok
B,8X,IncT8x_6,rf+mip,1,600.0,103671.906,greedy,0.0,621.419,0,,ok
B,10X,IncT10x_2,mip,1,600.0,248321.772,mip,0.0,634.247,0,,ok
B,10X,IncT10x_2,rf+fo,1,600.0,154375.068,greedy,0.0,634.314,10,,ok
B,10X,IncT10x_2,rf+mip,1,600.0,267477.979,greedy,0.0,632.886,0,,ok
B,10X,IncT10x_3,mip,1,600.0,156039.613,mip,0.0,633.472,0,,ok
B,10X,IncT10x_3,rf+fo,1,600.0,96565.324,greedy,0.0,641.089,10,,ok
B,10X,IncT10x_3,rf+mip,1,600.0,245376.956,greedy,0.0,632.717,0,,ok
B,10X,IncT10x_4,mip,1,600.0,367547.857,mip,0.0,633.823,0,,ok
B,10X,IncT10x_4,rf+fo,1,600.0,192447.183,greedy,0.0,597.0,9,,ok
B,10X,IncT10x_4,rf+mip,1,600.0,378070.456,greedy,0.0,633.347,0,,ok
B,10X,IncT10x_5,mip,1,600.0,81716.847,mip,0.0,635.555,0,,ok
B,10X,IncT10x_5,rf+fo,1,600.0,96884.72,greedy,0.0,650.694,9,,ok
B,10X,IncT10x_5,rf+mip,1,600.0,106223.536,greedy,0.0,634.191,0,,ok
B,10X,IncT10x_6,mip,1,600.0,191754.857,mip,0.0,635.141,0,,ok
B,10X,IncT10x_6,rf+fo,1,600.0,126168.419,greedy,0.0,624.341,8,,ok
B,10X,IncT10x_6,rf+mip,1,600.0,182177.969,greedy,0.0,635.829,0,,ok
